                                         s                                         | ind 
 531674892674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674928624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674928627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674928642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674928647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674928672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531674928674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678492624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678492627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678492642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678492647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678492672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678492674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678924624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678924627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678924642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678924647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678924672195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678924674195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678942624195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678942627195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678942642195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
 531678942647195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  16
